Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
SOM,2018-01-01,2018-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,USD,94.9256519619,E
SOM,2019-01-01,2019-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,USD,104.2370010288,E
SOM,2020-01-01,2020-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2020,2020,USD,104.5259447425,E
SOM,2021-01-01,2021-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2021,2021,USD,108.1563274711,E
SOM,2022-01-01,2022-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2022,2022,USD,111.8168678764,E
SOM,1970-01-01,1970-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,0.0049279789,E
SOM,1971-01-01,1971-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,0.0051372445,E
SOM,1972-01-01,1972-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,0.0066668342,E
SOM,1973-01-01,1973-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,0.0084382043,E
SOM,1974-01-01,1974-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,0.0159966642,E
SOM,1975-01-01,1975-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,0.0137145380,E
SOM,1976-01-01,1976-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,0.0169465947,E
SOM,1977-01-01,1977-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,0.0161892884,E
SOM,1978-01-01,1978-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,0.0190783173,E
SOM,1979-01-01,1979-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,0.0253187656,E
SOM,1980-01-01,1980-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,0.0264152366,E
SOM,1981-01-01,1981-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1981,1981,SLC,0.0074792327,E
SOM,1982-01-01,1982-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1982,1982,SLC,0.0109104591,E
SOM,1983-01-01,1983-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1983,1983,SLC,0.0948260513,E
SOM,1984-01-01,1984-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1984,1984,SLC,0.0866230425,E
SOM,1985-01-01,1985-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1985,1985,SLC,0.0914284233,E
SOM,1986-01-01,1986-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1986,1986,SLC,0.2113634991,E
SOM,1987-01-01,1987-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1987,1987,SLC,0.2673765051,E
SOM,1988-01-01,1988-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1988,1988,SLC,0.6900836175,E
SOM,1989-01-01,1989-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1989,1989,SLC,1.4543213441,E
SOM,1990-01-01,1990-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1990,1990,SLC,4.8014330858,E
SOM,1991-01-01,1991-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1991,1991,SLC,5.9421719557,E
SOM,1992-01-01,1992-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1992,1992,SLC,7.4569632043,E
SOM,1993-01-01,1993-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1993,1993,SLC,12.6710389338,E
SOM,1994-01-01,1994-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1994,1994,SLC,19.6569131207,E
SOM,1995-01-01,1995-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1995,1995,SLC,25.9155232842,E
SOM,1996-01-01,1996-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1996,1996,SLC,34.8955288656,E
SOM,1997-01-01,1997-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1997,1997,SLC,47.2909177646,E
SOM,1998-01-01,1998-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1998,1998,SLC,55.4304995761,E
SOM,1999-01-01,1999-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1999,1999,SLC,61.5712407267,E
SOM,2000-01-01,2000-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2000,2000,SLC,74.3782447522,E
